"","n_trials","alpha1_est","alpha2_est","alpha1_prior","alpha2_prior"
"363",100,0.656664,0.468689,0.503184,0.738274
"364",100,0.650951,0.400327,0.572766,0.531033
"365",100,0.580273,0.434055,0.442951,0.555807
"366",100,0.543099,0.354515,0.607001,0.666951
"367",100,0.456915,0.505693,0.562713,0.56859
"368",100,0.561596,0.661152,0.784321,0.704943
"369",100,0.537017,0.795768,0.535881,0.633014
"370",100,0.528459,0.499778,0.5469,0.743779
"371",100,0.608617,0.49428,0.604338,0.806244
"372",100,0.607908,0.493111,0.778841,0.289811
"373",100,0.610914,0.496643,0.518491,0.696712
"374",100,0.727351,0.529232,0.588774,0.574128
"375",100,0.495632,0.605272,0.567285,0.675903
"376",100,0.590154,0.755686,0.710141,0.703275
"377",100,0.708847,0.757604,0.686724,0.720158
"378",100,0.622504,0.5033,0.728928,0.52255
"379",100,0.637676,0.533197,0.514151,0.659793
"380",100,0.725636,0.398412,0.621107,0.669227
"381",100,0.780247,0.598111,0.432035,0.340643
"382",100,0.822321,0.681997,0.71374,0.547261
"383",100,0.66952,0.548387,0.49666,0.681414
"384",100,0.614137,0.699208,0.652999,0.566826
"385",100,0.648944,0.608764,0.719351,0.381558
"386",100,0.627769,0.599933,0.521915,0.485341
"387",100,0.713456,0.808704,0.759843,0.69921
"388",100,0.676523,0.712026,0.636368,0.569876
"389",100,0.704763,0.713431,0.712042,0.447335
"390",100,0.705071,0.711044,0.61669,0.502469
"391",100,0.722296,0.655679,0.790275,0.585524
"392",100,0.577849,0.565129,0.661887,0.804932
"393",100,0.661842,0.576692,0.610926,0.73448
"394",100,0.658488,0.656918,0.724004,0.714688
"395",100,0.61886,0.481831,0.344512,0.595422
"396",100,0.729695,0.624112,0.463833,0.622919
"397",100,0.761252,0.586725,0.487026,0.678079
"398",100,0.66988,0.83485,0.805077,0.648196
"399",100,0.77898,0.689198,0.75762,0.441785
"400",100,0.687473,0.710134,0.372782,0.760827
"401",100,0.554717,0.579669,0.639517,0.680925
"402",100,0.486709,0.683445,0.450921,0.357505
"403",100,0.439644,0.833579,0.399406,0.569717
"404",100,0.450077,0.829064,0.444661,0.625217
"405",100,0.444299,0.834979,0.69854,0.609925
"406",100,0.431332,0.826703,0.529942,0.518669
"407",100,0.431542,0.828137,0.689048,0.60316
"408",100,0.438119,0.771645,0.673883,0.436747
"409",100,0.518389,0.832844,0.702313,0.536712
"410",100,0.571273,0.808276,0.557508,0.632522
"411",100,0.571399,0.80807,0.445531,0.404735
"412",100,0.692361,0.691509,0.592593,0.536066
"413",100,0.513815,0.746026,0.463702,0.487297
"414",100,0.443643,0.501048,0.626113,0.719016
"415",100,0.696717,0.715409,0.687108,0.583039
"416",100,0.734572,0.870592,0.452502,0.561069
"417",100,0.75313,0.760102,0.470262,0.634796
"418",100,0.843047,0.600391,0.354676,0.637395
"419",100,0.78212,0.712432,0.312145,0.618051
"420",100,0.859813,0.631968,0.69702,0.649866
"421",100,0.862579,0.626744,0.625011,0.671309
"422",100,0.789864,0.569919,0.642617,0.473229
"423",100,0.413237,0.481683,0.6858,0.756879
"424",100,0.655807,0.497616,0.596664,0.863687
"425",100,0.607646,0.666834,0.772776,0.58629
"426",100,0.597897,0.672704,0.666714,0.645308
"427",100,0.644482,0.583978,0.663777,0.641107
"428",100,0.538703,0.342774,0.515825,0.537401
"429",100,0.701161,0.495914,0.494121,0.66047
"430",100,0.645332,0.73276,0.539984,0.490738
"431",100,0.558774,0.571241,0.703245,0.751476
"432",100,0.703911,0.751927,0.613658,0.772808
"433",100,0.678282,0.581678,0.585427,0.419776
"434",100,0.643013,0.64013,0.786327,0.57623
"435",100,0.68803,0.617246,0.763579,0.564172
"436",100,0.692368,0.588139,0.818623,0.509007
"437",100,0.60329,0.759756,0.553755,0.505071
"438",100,0.558344,0.555996,0.623318,0.744294
"439",100,0.458093,0.608334,0.646606,0.503282
"440",100,0.463667,0.612211,0.5593,0.47624
"441",100,0.74484,0.695775,0.608009,0.888916
"442",100,0.769299,0.709795,0.590078,0.506051
"443",100,0.770815,0.713183,0.731415,0.456053
"444",100,0.828886,0.72986,0.614192,0.641419
"445",100,0.780321,0.725504,0.557211,0.636673
"446",100,0.753853,0.691264,0.678456,0.628301
"447",100,0.705923,0.644586,0.505268,0.783881
"448",100,0.709262,0.590122,0.786115,0.742497
"449",100,0.435481,0.5574,0.522784,0.553625
"450",100,0.499684,0.575477,0.715862,0.65479
"451",100,0.377387,0.429325,0.758461,0.705463
"452",100,0.377408,0.415851,0.744585,0.716177
"453",100,0.84857,0.72575,0.58291,0.647957
"454",100,0.848057,0.755885,0.78972,0.642591
"455",100,0.843408,0.752357,0.635914,0.821373
"456",100,0.549552,0.734416,0.618987,0.634208
"457",100,0.716999,0.765675,0.577881,0.577779
"458",100,0.685131,0.675698,0.628925,0.616201
"459",100,0.518749,0.632871,0.710157,0.647567
"460",100,0.562222,0.558209,0.639539,0.686289
"461",100,0.629299,0.632091,0.608122,0.718921
"462",100,0.712758,0.649718,0.597896,0.450113
"463",100,0.712792,0.759859,0.77311,0.771492
"464",100,0.720612,0.711894,0.662584,0.655217
"465",100,0.628608,0.629445,0.527034,0.621227
"466",100,0.598843,0.766094,0.738876,0.615716
"467",100,0.636208,0.734179,0.6918,0.721758
"468",100,0.737354,0.592295,0.686178,0.507259
"469",100,0.548985,0.633217,0.685574,0.563633
"470",100,0.633792,0.594812,0.483215,0.459996
"471",100,0.5939,0.641116,0.530777,0.76382
"472",100,0.714533,0.543456,0.570447,0.722402
"473",100,0.58238,0.506115,0.725461,0.618796
"474",100,0.641037,0.796844,0.413709,0.729793
"475",100,0.674518,0.911809,0.739339,0.620479
"476",100,0.708549,0.66472,0.706366,0.601781
"477",100,0.734551,0.665461,0.586961,0.602095
"478",100,0.460367,0.576237,0.705476,0.572612
"479",100,0.487252,0.572874,0.512357,0.362721
"480",100,0.456599,0.667692,0.613388,0.638829
"481",100,0.545472,0.641122,0.63816,0.648496
"482",100,0.510701,0.66156,0.610736,0.666929
"483",100,0.508693,0.611086,0.576007,0.754003
"484",100,0.553033,0.671696,0.704941,0.801895
"485",100,0.606864,0.670405,0.589681,0.676493
"486",100,0.407129,0.532974,0.523767,0.495502
"487",100,0.482938,0.582734,0.647809,0.643684
"488",100,0.49363,0.576744,0.612808,0.808848
